epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0109,3.9678,3.78704,1.13001,0.00275,0.00397,0.00139,0.00024,3.9167,3.77612,0.93828,0.00016,0.00016,0.00016
2,81.4344,3.67635,2.93481,0.92058,0.00683,0.00986,0.00346,0.00075,3.84717,3.60191,0.89442,0.000336634,0.000336634,0.000336634
3,122.029,3.58373,2.20485,0.87938,0.01475,0.02128,0.00763,0.00165,3.55166,3.47535,0.86224,0.000509704,0.000509704,0.000509704
4,162.195,3.43699,1.75619,0.89969,0.02008,0.02897,0.01043,0.00231,3.50244,3.32198,0.86066,0.00067921,0.00067921,0.00067921
5,206.075,3.46,1.61447,0.87463,0.01692,0.0244,0.00875,0.00197,3.57052,3.19964,0.8758,0.000845152,0.000845152,0.000845152
6,258.394,3.38876,1.52362,0.87892,0.03008,0.0434,0.01824,0.00408,3.57983,2.99714,0.86853,0.00100753,0.00100753,0.00100753
7,311.875,3.33847,1.49531,0.86486,0.02483,0.03583,0.01609,0.00473,3.90501,2.80786,0.86469,0.00116634,0.00116634,0.00116634
8,364.903,3.27466,1.47276,0.85918,0.07233,0.10435,0.04145,0.01042,3.76501,2.49058,0.85915,0.00132159,0.00132159,0.00132159
9,418.615,3.28988,1.43828,0.84672,0.06733,0.09714,0.04486,0.01065,3.76849,2.4968,0.84856,0.00147328,0.00147328,0.00147328
10,463.598,3.29278,1.44627,0.86272,0.12233,0.17648,0.09019,0.02251,3.34588,2.25321,0.83487,0.0016214,0.0016214,0.0016214
11,513.988,3.38719,1.42147,0.8531,0.11925,0.17204,0.08236,0.0208,3.51385,2.09901,0.84073,0.00176596,0.00176596,0.00176596
12,564.267,3.30063,1.45113,0.84477,0.16175,0.23335,0.13579,0.03456,3.32641,1.83627,0.82822,0.0017822,0.0017822,0.0017822
13,605.514,3.21876,1.36049,0.85039,0.17317,0.24982,0.13942,0.03685,3.25623,1.75465,0.83527,0.0017624,0.0017624,0.0017624
14,646.548,3.2536,1.41631,0.83202,0.27272,0.24152,0.15895,0.0389,3.40955,1.62637,0.82627,0.0017426,0.0017426,0.0017426
15,691.526,3.1945,1.3695,0.85155,0.3598,0.26244,0.2014,0.05152,3.16935,1.47342,0.83151,0.0017228,0.0017228,0.0017228
16,748.094,3.22535,1.36426,0.8517,0.40963,0.30392,0.24824,0.06501,3.10408,1.35247,0.82073,0.001703,0.001703,0.001703
17,798.874,3.1375,1.34293,0.84238,0.36869,0.28997,0.22577,0.05477,3.22992,1.34418,0.82863,0.0016832,0.0016832,0.0016832
18,854.242,3.17306,1.37133,0.85196,0.33199,0.25283,0.19871,0.05253,3.31044,1.36305,0.84866,0.0016634,0.0016634,0.0016634
19,910.465,3.07321,1.33451,0.83727,0.42535,0.32159,0.268,0.06902,3.03172,1.27945,0.81723,0.0016436,0.0016436,0.0016436
20,961.303,3.15192,1.32013,0.83097,0.40475,0.31522,0.2654,0.07011,3.05946,1.28324,0.82104,0.0016238,0.0016238,0.0016238
21,1013.53,3.18127,1.33985,0.84481,0.41248,0.32195,0.27554,0.07197,3.02103,1.28576,0.81816,0.001604,0.001604,0.001604
